The risk during 6 months of these adverse events increased with psychological or sedative drug use.,1,press
The results confirm the need of a multidisciplinary approach to patients with vertigo.,0,press
These findings need replication in a larger sample.,0,press
MNA is a well-developed questionnaire which evaluates malnutrition in COPD patients.,0,press
Different prognostic factor combinations distinguish high-risk populations of early or late HCC recurrence.,3,press
"Independent of diabetic- and oral clinical status, dietary habits discriminated between individuals with and without oral impacts.",3,press
There is a favorable effect of BS on the hypothyroid bariatric population.,3,press
25(OH)D had significant inverse and direct relationship with FBG and WC.,1,press
"Therefore, first trimester or postpartum baselines will underestimate the true extent of pregnancy-related changes.",0,press
An early nutritional intervention with a supplemented MedDiet reduces the incidence of GDM and improves several maternal and neonatal outcomes.,3,press
Any abnormal finding in the reports should be investigated in terms of the progress of the pathology and also its clinical consequences.,0,press
"""This study provides cross-sectional data confirming the existence of the IRS in native Hawaiians.""",0,press
NNES add to total energy delivery.,0,press
The risk of developing either MS or NAFLD was significantly associated with serum Hb levels in men.,1,press
Cite this article: Bone Joint J 2017;99-B(1 Supple A):31-6.,0,press
"English North-South differences in smoking can be explained through  adverse, cross-sectional SEP.",0,press
The pedicled NSF seems to be helpful in avoiding the concentric growth of the granulomatous cyst epithelium while assuring ventilation and drainage of the cyst.,2,press
"Our study demonstrated that preoperative prealbumin, BMI, and NLR were independent prognostic factors of AEG patients.",1,press
Each 1  mg dL(-1) increase in HDL decreased the odds of severe sepsis by 3% during hospitalization.,3,press
"Unique identifiers: NCT01507831, NCT01623115, NCT01709500, NCT01617655, NCT01644175, NCT01644188, NCT01644474, NCT01730040, NCT01730053, and NCT01709513.",0,press
"TRIAL REGISTRATION: ClinicalTrials.gov: NCT01334359 and NCT01619826.""",0,press
These findings show that patients with atherosclerotic cardiovascular disease benefit from lowering of LDL cholesterol levels below current targets.,3,press
Low newborn birth weight was related to the deteriorated nutritional status in terms of low anthropometric and abnormal biochemical measures.,1,press
Improvement on the omega 3 index of healthy subjects did not alter the known effects of dietary saturated fats and n-6PUFA on LDL profiles.,3,press
Measurement of WC added limited information to BMI in this cohort.,0,press
"In our study, hypovitaminosis D seemed to have a negative impact on long term excess weight loss, but not on short-term outcome or postoperative complications.",3,press
"Our study demonstrates poor knowledge on breast cancer risk factors,  symptoms and curability among higher secondary school students in Western Nepal.",0,press
Risk factor screening methods are poor predictors of which pregnant  women will be diagnosed with GDM.,1,press
"In this 2-year prospective study in a hospital-based cohort of high-risk hemodialysis patients, elevated CRP, but not raised PCT, was associated with increased mortality.",1,press
This study highlights the need for further research and guidelines that clarify the role of ERBTs in newborn stabilisations.,0,press
Adequate evidence-based public health strategies are needed to reduce the vulnerability of mothers to food insecurity in LMIC settings and alleviate their risk of a high burden of nutrient insecurity and obesity.,0,press
"Although there was no association of GSTM1 deletion polymorphism with susceptibility to T2DM, the influence of this polymorphism on important clinical parameters related to glycemia and blood pressure levels was verified.",1,press
We suggest early proactive consideration of PEG from age 8\\u2005years onwards to prevent  progressive growth failure.,0,press
Long-term intervention-effect was not observed in the postpartum period.,0,press
The establishment of an appropriate framework will effectively contribute to promoting the early detection and reducing the incidence of this disease in the population.,3,press
"Patients with older age, negative medication belief, polypharmacy, co-morbidities and those who were poorly involved in the therapeutic decision were more likely to experience DTP.",1,press
This study clearly revealed that there is an increase in all deleterious lipid parameters and a decrease in favorable lipid measures.,1,press
Obese patients should be considered for reduction mammaplasty surgery in the same way as women of normal weight.,0,press
Non-mass enhancement with an adjacent landmark is more likely to have a US correlate compared to non-mass enhancement without an adjacent landmark.,1,press
Circulating concentrations of SHBG represent a  potentially useful new biomarker for prediction of risk of GDM beyond the currently established clinical and demographic risk factors.,1,press
"Severe traumatic injury produced substantial hypocholesterolemia that is greater with chest injury, shock, and RBC transfusion, but less with brain injury.",1,press
Individuals were unsure of the benefits and risks associated with dietary supplementation.,0,press
"These results suggest rare CNVs might have a role in breast cancer susceptibility, at least for disease at a young age.",2,press
Female gender and rapid weight loss were major risk factors for postoperative cholelithiasis.,1,press
We conclude that the ADC value is a non-invasive imaging parameter that can help in differentiation of diabetic osteoarthropathy from osteomyelitis  with excellent inter-observer agreement.,0,press
"This approach may, however, be difficult to implement on a large scale.",0,press
It was apparent that the majority of users were satisfied with herbal remedies use.,0,press
Biological therapies increased the level of the anti-atherogenic lipid apoA1.,3,press
"IMPLICATIONS FOR NURSING: As providers, health educators, and researchers, nurses have critical roles in encouraging adherence to screening mammography guidelines  among Latinas.",0,press
This association is linked with an alarming level of vascular morbidity.,1,press
NAFLD occurred in 8.2% of the IBD population.,0,press
Prospective studies  are required to show whether the higher plasma levels of ezetimibe and its active metabolite in patients taking the 20-mg dose have any detrimental effects.,0,press
"Hence, serum TTR level can be 1 of the useful biomarkers for comprehending the severity of the illness in massively burned patients.",1,press
"Physicians were more likely to prescribe high-intensity statins in statin-naÃ¯ve patients as compared with intensifying existing statin therapy, and  their prescription pattern was lower after CVA vs ACS.",1,press
"Our investigation suggests that the ST14CC-PBP3IIb/A clonal group is associated with increased clinical virulence, resistance to several antimicrobial agents, and is persistent over time.",1,press
Choroidal vascular density and volume are significantly reduced in more advanced stages of diabetic retinopathy.,0,press
"Susceptibility to smoking among students of 6th grade is associated with being male, family dysfunction and having ever smoked in life.",1,press
"Thus, clinicians might be able to monitor PCa patients who have a high risk of development of arterial stiffness after ADT administration by referring to LDL-C/HDL-C levels.",0,press
The rates of hypoxemia were greater among patients in whom supplemental oxygen was not administered.,1,press
"Up to 43% of patients undergoing shoulder arthroscopy can be classified as obese, but early perioperative complications are uncommon.",0,press
